brandName,os,osVersion,screenSizeInInches,displayType,resolutionInPixels,pixelDensity,rearCamera,frontCamera,batteryCapacity,fastCharging,cpuSpeed,processorCores,ramCapacity,gpuType,weight,internalStorage,externalStorage,price
OnePlus,Android,10,6.44,NA,1080 x 2400,402,48 + 8 + 5 + 2,32,4115,Yes,"1x2.4 GHz, 1x2.2 GHz, 6x1.8 GHz",Octa-core,8 GB,Adreno 620,184,128 GB,NA,27999
OnePlus,Android,10,6.44,NA,1080 x 2400,402,48 + 8 + 5 + 2,32,4115,Yes,"1x2.4 GHz, 1x2.2 GHz, 6x1.8 GHz",Octa-core,6 GB,Adreno 620,184,64GB,NA,24999
OnePlus,Android,10,6.44,NA,1080 x 2400,402,48 + 8 + 5 + 2,32,4115,Yes,"1x2.4 GHz, 1x2.2 GHz, 6x1.8 GHz",Octa-core,12 GB,Adreno 620,184,256GB,NA,29999
Redmi,Android,10,6.67,NA,1080 x 2400,395,48 + 8 + 5 + 2,16,5020,Yes,"2x2.3 GHz, 6x1.8 GHz",Octa-core,6 GB,Adreno 618,209,128 GB,NA,16999
Redmi,Android,10,6.67,NA,1080 x 2400,395,48 + 8 + 5 + 2,16,5020,Yes,"2x2.3 GHz, 6x1.8 GHz",Octa-core,6 GB,Adreno 618,209,64 GB,NA,13999
Samsung,Android,10,6.5,NA,1080 x 2400,405,64 + 12 + 5 + 5,32,6000,Yes,"4x2.3 GHz, 4x1.7 GHz",Octa-core,6 GB,Mali-G72 MP3,NA,128 GB,NA,19499
Samsung,Android,10,6.5,NA,1080 x 2400,405,64 + 12 + 5 + 5,32,6000,Yes,"4x2.3 GHz, 4x1.7 GHz",Octa-core,8 GB,Mali-G72 MP3,NA,128 GB,NA,19499
Redmi,Android,9,6.3,IPS,1080 X 2340,409,48 + 8 + 2 + 2,13,4000,Yes,2 GHz,octa,6 GB,Adreno 610,190,128GB,256 GB,14999
Redmi,Android,9,6.3,IPS,1080 X 2340,409,48 + 8 + 2 + 2,13,4000,Yes,2 GHz,octa,6 GB,Adreno 610,190,128GB,256 GB,14999
Redmi,Android,9,6.39,IPS,1080 X 2340,409,48 + 8 + 2 + 2,13,4000,Yes,NA,octa,4 GB,Adreno 610,190,64GB,256 GB,12799
Realme,Android,9,6.52,NA,720x1600,269,12 + 8 + 2 + 2,8,5000,NA,NA,1.8GHz octa,4 GB,NA,195,64 GB,NA,9597
Samsung,Android,10,6.4,Super AMOLED,1080 x 2340,403,48 + 8 + 5,20,6000,NA,"4x2.3 GHz, 4x1.7 GHz",Octa-core,4 GB,Mali-G72 MP3,188,64 GB,NA,13999
Samsung,Android,10,6.4,Super AMOLED,1080 x 2340,403,48 + 8 + 5,20,6000,NA,"4x2.3 GHz, 4x1.7 GHz",Octa-core,6 GB,Mali-G72 MP3,188,128 GB,NA,15999
OnePlus,Android,10,6.44,NA,1080 x 2400,402,48 + 8 + 5 + 2,32,4115,Yes,"1x2.4 GHz, 1x2.2 GHz, 6x1.8 GHz",Octa-core,8 GB,Adreno 620,184,128 GB,NA,27999
OnePlus,Android,10,6.44,NA,1080 x 2400,402,48 + 8 + 5 + 2,32,4115,Yes,"1x2.4 GHz, 1x2.2 GHz, 6x1.8 GHz",Octa-core,6 GB,Adreno 620,184,64GB,NA,24999
OnePlus,Android,10,6.44,NA,1080 x 2400,402,48 + 8 + 5 + 2,32,4115,Yes,"1x2.4 GHz, 1x2.2 GHz, 6x1.8 GHz",Octa-core,12 GB,Adreno 620,184,256GB,NA,29999
Redmi,Android,10,6.67,NA,1080 x 2400,395,48 + 8 + 5 + 2,16,5020,Yes,"2x2.3 GHz, 6x1.8 GHz",Octa-core,6 GB,Adreno 618,209,128 GB,NA,16999
Redmi,Android,10,6.67,NA,1080 x 2400,395,48 + 8 + 5 + 2,16,5020,Yes,"2x2.3 GHz, 6x1.8 GHz",Octa-core,6 GB,Adreno 618,209,64 GB,NA,13999
Samsung,Android,10,6.5,NA,1080 x 2400,405,64 + 12 + 5 + 5,32,6000,Yes,"4x2.3 GHz, 4x1.7 GHz",Octa-core,6 GB,Mali-G72 MP3,NA,128 GB,NA,19499
Samsung,Android,10,6.5,NA,1080 x 2400,405,64 + 12 + 5 + 5,32,6000,Yes,"4x2.3 GHz, 4x1.7 GHz",Octa-core,8 GB,Mali-G72 MP3,NA,128 GB,NA,19499
Redmi,Android,9,6.3,IPS,1080 X 2340,409,48 + 8 + 2 + 2,13,4000,Yes,2 GHz,octa,6 GB,Adreno 610,190,128GB,256 GB,14999
Redmi,Android,9,6.3,IPS,1080 X 2340,409,48 + 8 + 2 + 2,13,4000,Yes,2 GHz,octa,6 GB,Adreno 610,190,128GB,256 GB,14999
Redmi,Android,9,6.39,IPS,1080 X 2340,409,48 + 8 + 2 + 2,13,4000,Yes,NA,octa,4 GB,Adreno 610,190,64GB,256 GB,12799
Realme,Android,9,6.52,NA,720x1600,269,12 + 8 + 2 + 2,8,5000,NA,NA,1.8GHz octa,4 GB,NA,195,64 GB,NA,9597
Samsung,Android,10,6.4,Super AMOLED,1080 x 2340,403,48 + 8 + 5,20,6000,NA,"4x2.3 GHz, 4x1.7 GHz",Octa-core,4 GB,Mali-G72 MP3,188,64 GB,NA,13999
